Names,ARE.R,AUS.R,AUT.R,AZE.R,BFL.R,BFR.R,BGR.R,BHR.R,CAN.R,CHL.R,CZE.R,DEU.R,DNK.R,ENG.R,ESP.R,FIN.R,FRA.R,GEO.R,HKG.R,HUN.R,IRL.R,IRN.R,ISR.R,ITA.R,KAZ.R,LTU.R,LVA.R,MAC.R,MAR.R,MLT.R,NIR.R,NLD.R,NOR.R,NZL.R,OMN.R,POL.R,PRT.R,QAT.R,RUS.R,SAU.R,SGP.R,SVK.R,SVN.R,SWE.R,TTO.R,TWN.R,USA.R,ARE.E,CAN.E,DNK.E,GEO.E,IRL.E,ISR.E,ITA.E,NOR.E,PRT.E,SGP.E,SVN.E,SWE.E,TWN.E,USA.E,EGY.L,IRN.L,KWT.L,MAR.L,ZAF.L
SQD32,-52.8502888863988,-40.6989505950036,-14.8163146863615,-28.027257595177,-23.5880899381631,-27.3643491887791,-29.5511685037226,-85.714134922445,-25.3450004375558,-36.2722956980751,-25.5794541881955,-21.1925257234325,-33.8220038066366,-34.2947282704337,-20.1152209450427,-54.7749988612929,-22.9323220664919,-45.8038372877451,-23.8626897773881,-23.6478781949789,-27.577465834092,-94.2347635801851,-24.185840700104,-13.1242853428637,-29.4638741691146,-51.8246888808559,-48.1484552073586,0.288598331500162,-37.4438450430415,-45.9824899159279,-36.8275505668748,-29.1892261475166,-49.8589172548632,-35.8531494443365,-81.3750176872028,-48.4937584541337,0.505489784303609,-62.0536813663767,-35.113546631794,-115.639775998206,-34.249493345422,-23.6277784939519,-49.773153007047,-38.4873071944158,-46.7263155666849,-17.0656938056514,-11.6822521152913,-61.9176042527457,-17.7414113558676,-13.6984995276221,-32.8004768057196,-24.6527910074062,-25.8987352433673,-8.90096924628102,-46.2295211496553,-5.64416008880021,-42.1921493650425,-41.3730194768822,-32.8190727064445,-22.4008180733416,-12.9601394519967,-57.2947509931787,-87.6201941830527,-59.1051624531806,-52.2314110899016,-91.2887989711593
SQD33,-51.5609885410098,-39.832077132527,-15.555623587132,-26.487477934441,-23.9678434931441,-27.3001965265995,-29.5044891760425,-84.3953085769756,-25.3635673251308,-36.0135326980599,-24.5989927326138,-19.690000509733,-33.4174603152848,-34.4441405204723,-20.8145223975066,-53.9679570226676,-22.7416694204365,-46.1488154681585,-23.8552237475638,-22.070696765312,-27.015360120801,-92.1734822708742,-21.7711924239136,-13.1371998555179,-29.9458647182356,-50.8648801982011,-49.3865861756932,1.80270368084585,-37.7243547114028,-46.1936763330516,-37.0456262974469,-28.7087093656538,-49.7521488071054,-34.8149295860178,-81.4145913048129,-47.9818078212695,0.983193414235664,-60.8394929556107,-34.2776925871631,-114.4670328825,-33.7177699119934,-22.4350414778688,-48.8875684094603,-37.621308899546,-45.5576661017031,-16.3587921831986,-12.2558886038265,-60.7120484256092,-18.4975805186153,-13.1089386297583,-33.0477779098774,-23.488220769737,-25.2375043768258,-8.09485070216279,-44.6910971786914,-4.52682924337782,-41.7049860991933,-40.3004823509886,-32.0613335295392,-21.3522238248094,-12.6423218419459,-57.3016653578494,-85.1249935197577,-59.1119748764461,-52.0157591719427,-91.4271608792125
SQD34,-50.7429057731391,-40.7004290516754,-14.8415847149651,-25.3797863638127,-23.8183287591663,-28.1115988171496,-29.9188927208389,-83.6475134206729,-24.9710732214905,-34.3082300508258,-24.0210307493293,-20.0428092686589,-34.1677278049738,-33.849021606091,-20.1590467570702,-53.2657384072234,-23.3608073881892,-46.0757832915313,-24.3491148430787,-19.9345421207585,-27.8649549095144,-90.2692924423226,-21.1490031620777,-11.9008352884551,-29.2982316036883,-49.9085446560606,-49.9459363403052,2.36673902169245,-38.0143440023893,-46.6915716738583,-36.9403642308546,-28.9298688659898,-48.4086761142058,-34.2812519836757,-80.6495455543593,-46.7428699609474,1.14714957619582,-60.1944731211222,-34.1175137340907,-114.208191869219,-33.4905094998636,-22.9899488817829,-48.7011441718778,-37.3150303600901,-45.6492808641787,-16.9789316262016,-10.9217738084384,-59.1822245486827,-17.9620152384735,-12.9811171358935,-33.1080328297635,-24.4716705449039,-25.7952179690827,-7.47429594526344,-43.8822430853921,-4.99754296329026,-42.1358524919417,-39.3275795195741,-32.1751041959634,-20.5754060282885,-12.3297525981753,-57.3116435924923,-83.5545330567529,-58.5590286045002,-52.0289028009049,-91.0427135752347
SQD35,-49.9361773818569,-40.419762262116,-14.2891259494251,-25.4857689913193,-23.4143553823869,-28.7026767291556,-28.8204457412298,-82.234360111552,-24.9280362037614,-33.3238825570923,-23.6977329460506,-18.1331679610275,-34.1251402562598,-33.1444593775205,-20.2114630782747,-53.1119542333865,-23.2886752046458,-46.06169017239,-23.4512294597156,-19.9103302867578,-28.6859820546747,-89.871744566203,-20.8689355521485,-12.1629530400122,-28.5659053577447,-49.7098658475008,-49.0916994844443,2.18579206248517,-38.0458060726756,-46.4974858105712,-36.0855854429254,-27.4464879746084,-48.2051866125274,-33.09014596105,-79.9110223070538,-46.9564625795673,0.305895595924933,-58.6746323177223,-33.0778767561685,-113.634859310532,-33.3965890551388,-23.0175389160744,-48.4371543484882,-38.297327991592,-44.3117316469266,-16.096904940025,-11.000916159136,-57.9679546801359,-17.3880435204272,-14.3057997811177,-32.5377469256726,-24.5650876595467,-24.5086381271341,-7.84853610763264,-43.9849492129533,-4.91366296845053,-42.2386566103607,-38.8650659265684,-32.4951566909041,-20.4954637048346,-12.3516677227071,-56.8968528894839,-82.430675372482,-57.8791692185037,-52.3340011747009,-90.8522108106878
SQD36,-48.3113681956183,-40.0087337463869,-13.9754058986481,-25.0486471689929,-23.3971966559012,-28.161982382103,-27.9555661840704,-79.777866167133,-25.1048674691668,-33.1429859228511,-22.5162106005011,-17.563597946976,-34.3489328968179,-31.9437276294809,-20.1502934917933,-53.0334160332229,-23.0446182864297,-45.311902763861,-22.1123799864411,-20.0233148231969,-28.243461261552,-88.7463435872815,-21.222143436537,-12.377288732591,-28.6675811069868,-49.9827304822741,-48.7787942261892,1.93643862247889,-38.3343744604919,-46.1811007507493,-33.2832820296538,-27.8858107168894,-48.3865947838993,-32.7204060397535,-78.1281263391037,-45.4653912725177,0.110714237597215,-57.7681365770654,-34.0645106451867,-113.089956405036,-33.8862152210945,-22.2136292069096,-47.6561590819127,-37.2615028142959,-42.9080114978927,-15.8861518547908,-9.89662981969165,-55.492753076114,-17.7189402018228,-12.1242252908091,-31.7467989939727,-23.740107703159,-22.9777440829584,-7.7037428781321,-44.6422243055466,-3.62354564096216,-42.5740080307631,-38.4967895073742,-32.0264365803441,-19.0264436799266,-12.0650125816622,-56.485629948676,-80.702623634586,-57.0378327170306,-52.0399830562349,-91.6836471065767
SQD37,-47.7787670686603,-39.7945753675513,-12.9772639865142,-25.3712457012181,-23.3698809776894,-26.7088444476772,-28.4340545605544,-79.0132762602599,-25.5939507342803,-32.961693797336,-21.3069539130719,-17.1163545660226,-34.4187446375884,-31.6761282557893,-19.7299200732933,-52.1158525340681,-22.8948409526066,-44.3273615638288,-21.5589671617911,-19.9196739172401,-29.0448404087975,-87.1943693204577,-20.4094780745928,-11.5688891269248,-29.4951021517336,-49.5607545325364,-49.1474537876397,1.6782159592092,-37.5944148597547,-45.0469833334723,-33.8563569377875,-26.6437017959286,-48.0132190656284,-32.8902910973502,-76.3424037500274,-45.0188463954838,1.65629396355314,-56.8800323080795,-33.973792391941,-112.929106208347,-33.588327556101,-21.098982219312,-45.878579179532,-36.6219360527679,-41.7082664910108,-14.7851311746533,-10.5803054002971,-53.6191744396496,-17.2931984843209,-12.5401449526948,-31.4152947451519,-23.763709058147,-21.8887866626647,-7.81485177753301,-44.9702034587085,-3.02740085344363,-42.9634349226299,-37.7027215289617,-31.9876979112388,-18.9171877708306,-11.545414176078,-56.4504677156114,-78.4737748877447,-56.0234968205155,-52.8000575522902,-91.3768625905657
SQD38,-47.5744531316956,-39.308670910495,-13.5796094077902,-24.4685444174211,-23.7636612042282,-24.7434274292053,-28.2509741981573,-77.5244151632392,-25.3086504198424,-32.4986343950475,-21.0485565321899,-17.2717329995351,-33.345173430039,-31.1982127022784,-20.1565929630553,-52.1657090614004,-21.6042528427416,-44.2475803562496,-20.8392197626815,-19.6736875088995,-29.6178623360202,-86.2577235891992,-19.5320247289034,-10.9687833018583,-29.1825772707908,-49.8866660935294,-48.835313314257,1.8342591580226,-37.0973766528168,-45.5222316251569,-34.7186882694866,-25.5371673831015,-47.97614911142,-31.6825721037064,-74.7612778612608,-44.4188286122871,1.97154297237924,-56.6858811802656,-34.1201284138113,-112.393134213991,-33.4691361750153,-20.5691339797355,-45.2760786813537,-36.4088087088808,-40.9377580667777,-15.3759547690084,-11.3620465975229,-52.3085287640626,-16.3526905180825,-11.5462730353903,-31.3309298079646,-23.4331895068331,-20.8877485974384,-7.27334418703255,-44.1997958286387,-2.66850836369173,-42.6980092232672,-36.6048479055671,-30.9897548908326,-18.3174416571608,-10.6220718833136,-56.3036300905005,-79.1594653809544,-56.0948064752908,-53.4151585818377,-90.6448345861563
SQD39,-46.1259975909456,-38.2341426191522,-13.6212938806806,-25.6071686276885,-22.9651347979714,-24.2338371349033,-28.6442022867641,-75.8364328814826,-25.4316755376112,-31.7784911935707,-20.730559594989,-17.9417894182294,-35.3894754790306,-31.2371748823468,-19.5765437664852,-50.9703681217408,-19.8611651555767,-42.5587444928203,-19.9539787076899,-19.8157302529434,-28.3369386874758,-85.2192703789535,-18.1292386932004,-10.291895010281,-28.3891436504923,-49.6473878828187,-48.350651235367,1.52878480679181,-37.0268857853498,-45.0459352364357,-34.1553424252813,-25.3064040229109,-48.3595717902852,-31.9499890270444,-74.0641316584047,-43.7128274435313,1.19877027929259,-56.444498547071,-33.133087199185,-111.856789256201,-34.0081692366192,-20.0588245916124,-43.6557104289699,-35.329057696535,-40.89509419812,-15.531024626611,-10.4474920960139,-50.7091621102195,-15.6077251981818,-10.7752235278093,-31.8356227187077,-22.6247067511881,-18.5455078635854,-6.98243086383336,-43.851658527554,-2.29433016089078,-42.888646614954,-35.4361131778484,-30.8623160195723,-17.5997864205303,-9.91397585106156,-55.5960958101181,-77.0064744694528,-56.0841117795708,-54.0282411855127,-89.4888369002909
SQD40,-44.8602105561485,-37.9316170658892,-13.6358679016435,-25.7699546208071,-22.846778987243,-23.2753447160971,-27.7652354124194,-73.6458813577618,-25.1133222717838,-32.3068935668558,-19.8373185132423,-18.6536029411611,-36.5893722782408,-30.4499597633988,-19.4561761945918,-50.1840879249209,-19.9558278989006,-41.7922677968587,-19.6687108147132,-19.743827663114,-28.946788982571,-83.1330482075457,-17.3665143645431,-9.98755557301063,-28.5932410781013,-49.5657893150686,-48.9248440817109,1.05261116259591,-36.8174956032205,-44.3123797471507,-33.9012377456312,-25.1855956996402,-48.3680015049512,-31.263363857081,-72.9729027527889,-42.9444833306089,0.830306211580658,-55.6307234078937,-33.8992203271348,-111.989242329753,-33.8097904367535,-19.2967968610469,-43.569763782421,-35.5570493292432,-40.1621422291604,-15.8548503090461,-10.1672654073466,-49.4986141515221,-14.4068303130482,-9.80821873302873,-31.0359772527037,-23.3609774232911,-17.054142528457,-6.73551551626493,-43.9019926652045,-1.89069980271757,-42.4380382318836,-33.8115258918323,-32.1567988236034,-17.3708408581132,-8.48296169052301,-55.5931188016001,-75.8657117102311,-55.4352955628811,-53.5389597752477,-88.9170087459054
SQD41,-43.4804210620736,-36.9372486741146,-13.2241129139029,-24.9805995697209,-22.2723096735515,-23.5592025558176,-28.2921681703084,-72.710045025953,-24.5249087539251,-31.2820256004882,-18.9622707592532,-18.4394628235162,-36.0186015905605,-29.2553169933061,-19.1886735933162,-49.8691441652149,-19.4707740348182,-40.9381350352355,-18.8942412967641,-18.8408700509766,-29.0924671707883,-81.2708438338647,-17.0670331012579,-11.7638038792409,-27.3405158058933,-48.7471013370805,-48.2926203277915,0.845345657186544,-36.4766592127315,-44.1031818266133,-34.8070073889537,-25.3038483897659,-46.9429732484348,-31.6110435931793,-71.780711504801,-41.9742133501801,1.44587520194599,-55.2918896948236,-33.8277571490958,-110.818367678351,-33.7899208440677,-18.8921968521133,-42.6680561047076,-35.3684802699353,-40.3110736739385,-15.7866415296616,-9.41915392934846,-48.3046690238744,-14.5641964216752,-9.75714427714395,-30.6889244064506,-23.4530780056971,-16.018275425148,-6.51538730133793,-42.6803411085848,-1.69663503891274,-41.1524194416759,-32.9058808793419,-33.1306985165039,-16.9237688688733,-9.18057129284434,-55.0024428932626,-73.1747730616106,-54.4717210893122,-53.4072916994812,-88.6610133865132
SQD42,-42.498283040621,-36.5481308771824,-11.8759357282831,-24.0567011771615,-21.7098467814613,-22.2392948139338,-27.8628819907476,-71.754070973203,-25.0169688434619,-30.9662096696384,-19.1459305935238,-18.5920749724279,-35.2985927591952,-27.8993075135084,-18.4766862960099,-50.2127061761033,-18.4532124331023,-42.341726985398,-17.9463739735549,-18.2648744755884,-28.8514909674857,-80.2534103075816,-16.841937909643,-12.1451972038067,-26.8190825922267,-48.4369107645064,-48.2803661959648,0.742886237142011,-37.2210571726093,-44.59239554148,-34.7922082344661,-24.1112053309234,-45.81762616759,-31.8918060279743,-71.6502201524715,-41.870335859326,1.15899974975921,-54.8197767922839,-33.694123086916,-110.233936515709,-33.6018564519584,-18.1130626172887,-41.0115424761841,-34.9865418222846,-39.629904629387,-14.6681630672934,-9.75695920434018,-46.8631738218144,-14.8974958876219,-10.4896925749816,-31.0654585120239,-23.0157669447759,-15.1088506280111,-6.00337103670061,-42.9002303562708,-2.41171255084757,-40.6942689776223,-31.4248214058023,-33.518148724886,-16.1056369474854,-8.46558322234977,-54.2779506420366,-73.054316624455,-54.4386295599675,-53.3640975058691,-88.1013892520061
SQD43,-41.2537215269349,-35.719805372414,-11.3465561497508,-23.1142841309602,-21.8983683365116,-21.9309751985995,-27.2017534309099,-70.928157754553,-25.1622400159445,-30.1651270150913,-18.4828230415706,-18.5139715811913,-34.8389960135071,-26.9701878349609,-18.5979544387307,-50.4474321988047,-18.0356396909023,-41.7976500004195,-17.0773507918866,-17.0124417991295,-28.959291397737,-79.0946698200446,-16.0171453420639,-12.9814251887029,-26.8417707063376,-46.1125989947498,-46.5760057148757,-0.756820223959088,-37.0149718214443,-44.9204491430799,-33.5715413569418,-23.5848680868355,-46.141054606679,-31.5638074590034,-70.486867991298,-42.5899314667367,1.40624957123307,-54.5543897096178,-34.1298004607978,-109.381213605518,-32.9683113751067,-17.1026388417749,-40.1425315100042,-34.7921537831559,-38.5175092461145,-15.0607374499196,-10.3983589936911,-46.154480627674,-14.0554835033177,-10.7106218573351,-31.0591070132371,-24.1943561718506,-14.3911634957586,-6.89480675663589,-42.2350335437598,-1.87734773845577,-40.3091356067026,-30.7252118496681,-33.7598408335091,-15.3642898506809,-9.26889739124765,-53.5057944654332,-71.1781033674011,-53.5113179908973,-52.6813898374635,-87.2413047537706
SQD44,-40.457227605976,-34.8264213341197,-11.2144420319245,-23.0320597093852,-20.6040214069029,-20.8231902434779,-27.1288537991087,-69.7496393358462,-25.5611265689445,-29.2124657378583,-17.5530316998092,-18.5559040730549,-34.2496806567606,-26.9486068156089,-18.2249240604894,-50.5126522043338,-17.4448667744208,-42.5082286297751,-17.3892371916914,-17.2320211741304,-29.6089994468193,-77.1816321497619,-15.9913651568315,-13.0364766652671,-26.6258515290941,-45.9145455013242,-45.2176875710165,-0.466690664043469,-38.5406989060135,-43.94887857271,-34.1874321246738,-22.7660833634415,-46.7678070402131,-30.1702919836628,-70.1796310695295,-42.8086915570674,1.48047195934782,-53.5860926149467,-34.2839098998008,-107.717015377416,-33.179955102783,-16.592851285831,-40.0704699515013,-34.1091654184664,-37.3945111117789,-15.1643751220001,-11.2601282865664,-45.0611185457654,-14.2667478081263,-9.83024917029495,-30.557332497737,-23.7253124774522,-13.5929378495062,-6.79826436179759,-41.4101973602609,-0.630079923672869,-39.2829948076891,-31.0015894817005,-33.4476538145743,-15.3524878035096,-9.23873725026378,-52.0561205398656,-69.5695029858465,-51.2637660375466,-52.418430701719,-86.9140515812722
SQD45,-39.8264262422629,-34.6387491934851,-10.3362385940428,-22.7294861371397,-21.556136915578,-19.9406762149722,-27.3388450751587,-69.5056295387983,-25.3659520285534,-28.3343860428689,-17.8062770344354,-18.4822124232645,-35.2454573261956,-27.0911920262379,-17.6940267982187,-50.5850070921384,-17.0476081471686,-42.9160981809461,-16.8177994513563,-16.7628493848749,-29.5171536735213,-76.1854976230191,-14.4788614214866,-13.7157926820873,-26.6964961683716,-46.2426710880274,-44.9290160517943,0.000484242310003369,-39.3071119614861,-43.3356351692855,-33.707644568823,-22.2173458877071,-45.4417506938588,-31.7016091074215,-69.579023577439,-42.6335571522043,0.387387306715042,-52.9483943739393,-33.7172273369182,-107.40229012315,-32.27565315325,-16.3941030183844,-39.3668464763836,-34.4573312744414,-36.1935590378675,-15.6385236109582,-10.7625025731842,-43.3636710974804,-13.6252689179932,-10.1192387886515,-30.2253408587462,-23.7526803770172,-13.5037916635314,-6.01967410685843,-39.289253272009,1.02792379335627,-38.9009080432967,-29.8546917962319,-32.6752839997114,-14.5897880997048,-8.22023697118167,-51.3723239124078,-69.0329788366112,-51.2365371425347,-51.7595989953887,-86.2212113718413
